input_group,n_test,r2,r2_trimmed_0.05,rmse,mae,mean_posterior_log_prob_nats,mean_prior_log_prob_nats,info_gain_nats,exp_info_gain,delta_ll_frac_negative,delta_ll_frac_near_zero,delta_ll_frac_positive
prior,3054,-0.002659981866292682,-0.034026028659108976,0.3261885502619959,0.24185990534265792,-1.2320476468864734,-1.2320476468864734,0.0,1.0,0.0,1.0,0.0
lines_only,3054,0.3922411617054037,0.4851011841222417,0.2539554358966478,0.18811099372924622,-1.0145110555173684,-1.2320476468864734,0.21753659136910491,1.2430109121466777,0.2596594629993451,0.07596594629993451,0.6643745907007204
